Language,CountryCode,IsOfficial,Percentage
Arabic,TCD,T,12.3
Gorane,TCD,F,6.2
Hadjarai,TCD,F,6.7
Kanem-bornu,TCD,F,9.0
Mayo-kebbi,TCD,F,11.5
Ouaddai,TCD,F,8.7
Sara,TCD,F,27.7
Tandjile,TCD,F,6.5
Ane,TGO,F,5.7
Ewe,TGO,T,23.2
Gurma,TGO,F,3.4
Kaby??,TGO,T,13.8
Kotokoli,TGO,F,5.7
Moba,TGO,F,5.4
Naudemba,TGO,F,4.1
Watyi,TGO,F,10.3
Chinese,THA,F,12.1
Khmer,THA,F,1.3
Kuy,THA,F,1.1
Lao,THA,F,26.9
Malay,THA,F,3.6
Thai,THA,T,52.6
Russian,TJK,F,9.7
Tadzhik,TJK,T,62.2
Uzbek,TJK,F,23.2
English,TKL,T,0.0
Tokelau,TKL,F,0.0
Kazakh,TKM,F,2.0
Russian,TKM,F,6.7
Turkmenian,TKM,T,76.7
Uzbek,TKM,F,9.2
Portuguese,TMP,T,0.0
Sunda,TMP,F,0.0
English,TON,T,0.0
Tongan,TON,T,98.3
Creole English,TTO,F,2.9
English,TTO,F,93.5
Hindi,TTO,F,3.4
Arabic,TUN,T,69.9
Arabic-French,TUN,F,26.3
Arabic-French-English,TUN,F,3.2
Arabic,TUR,F,1.4
Kurdish,TUR,F,10.6
Turkish,TUR,T,87.6
English,TUV,T,0.0
Kiribati,TUV,F,7.5
Tuvalu,TUV,T,92.5
Ami,TWN,F,0.6
Atayal,TWN,F,0.4
Hakka,TWN,F,11.0
Mandarin Chinese,TWN,T,20.1
Min,TWN,F,66.7
Paiwan,TWN,F,0.3
Chaga and Pare,TZA,F,4.9
Gogo,TZA,F,3.9
Ha,TZA,F,3.5
Haya,TZA,F,5.9
Hehet,TZA,F,6.9
Luguru,TZA,F,4.9
Makonde,TZA,F,5.9
Nyakusa,TZA,F,5.4
Nyamwesi,TZA,F,21.1
Shambala,TZA,F,4.3
Swahili,TZA,T,8.8
Acholi,UGA,F,4.4
Ganda,UGA,F,18.1
Gisu,UGA,F,4.5
Kiga,UGA,F,8.3
Lango,UGA,F,5.9
Lugbara,UGA,F,4.7
Nkole,UGA,F,10.7
Rwanda,UGA,F,3.2
Soga,UGA,F,8.2
Teso,UGA,F,6.0
Belorussian,UKR,F,0.3
Bulgariana,UKR,F,0.3
Hungarian,UKR,F,0.3
Polish,UKR,F,0.1
Romanian,UKR,F,0.7
Russian,UKR,F,32.9
Ukrainian,UKR,T,64.7
English,UMI,T,0.0
Spanish,URY,T,95.7
Chinese,USA,F,0.6
English,USA,T,86.2
French,USA,F,0.7
German,USA,F,0.7
Italian,USA,F,0.6
Japanese,USA,F,0.2
Korean,USA,F,0.3
Polish,USA,F,0.3
Portuguese,USA,F,0.2
Spanish,USA,F,7.5
Tagalog,USA,F,0.4
Vietnamese,USA,F,0.2
Karakalpak,UZB,F,2.0
Kazakh,UZB,F,3.8
